tag	kind	rva	expect	target	source	cpp	note	parent	parent_rva	target_id	anchor	anchor_off
CurFhMagicCmov	text	0x1144843	75 07		x/features/ports/curfh_gate_bypass.cpp	kRvaMagicCmov	TryDoingMagicAttack CurFh==null FAIL 边沿 test al; jnz+7（User+0x50 @0x11446FA / +0x28 @0x114471B / cmovnz @0x1144730） remount 2026-09-17	hash:f8b9a97991a8107f271360726baf101735d859abad7081a0e7cbd0d0787bb0d	0x113E730		48 8B 8D 40 1A 00 00 31 D2 E8 ?? ?? ?? ?? 48 8B 0D ?? ?? ?? ?? 84 C0 75 07 48 8B 0D ?? ?? ?? ?? 48 8B 85 38 1A 00 00 FF E1	23
CurFhShootCmov	text	0x111039A	75 07		x/features/ports/curfh_gate_bypass.cpp	kRvaShootCmov	TryDoingShootAttack CurFh CONT ([reg+0xB8]+0x28 then test rdx; jnz+7) remount 2026-09-17	kRvaTryDoingShootAttack	0x1105190		48 8B 81 B8 00 00 00 48 8B 50 28 48 8B 05 ?? ?? ?? ?? 48 85 D2 75 07	21
CurFhPrepareJnz	text	0x1162E68	34 01		x/features/ports/curfh_gate_bypass.cpp	kRvaPrepareJnz	Prepare@0x1161E50 call 0x111FCD0 then xor al,1; 0xF2CE1658+seed=2; 34 01->31 C0 force CONT remount 2026-09-17	hash:bd0050ab967eef3d288dc43a657ab2b4d2cdd5f794bbf036881ba7a25c50456	0x1161E50		E8 ?? ?? ?? ?? 34 01	5
KickHwbpCall	call	0x87DE65	E8	0xE54140	x/features/kick_sniff/kick_sniff.cpp	kRvaA480UpdateCallA480	DoLocal 唯一 E8 @0x87DE65 -> 0xE54140 remount 2026-09-17；点不在 dump 方法头，父函数 @0x87CFC0	hash:e030bc5967d2f24901314058c07015f92d569d7042c6dde09586bda57ea73bc	0x87CFC0	kRvaA480DoLocalDisc		
ByPetRectPack	data	0x5698A80	19 00 00 00 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 48 42 00 00 70 42		x/features/ports/drop_pool_port.cpp	kRvaByPetRectPackFallback	int32 25,10 + float 50,60；ByPet@0xFC8D80 RIP remount 2026-09-17	kRvaDropTryPickUpDropByPet	0xFC8D80			
MeleeConstRect	data	0x572C690	00 00 B0 C2 00 00 C0 C0 00 00 8C 42 00 00 60 42		x/features/melee_veto/melee_veto.cpp	kRvaConstRect	float -88,-6,70,56；GetAttackRect@0x1299850 RIP remount 2026-09-17	kRvaGetAttackRect	0x1299850			
DegreeClampLoSeed	data	0x69AD038	B5 1A CE 5A		x/features/attack_accel/attack_accel.cpp	kRvaDegreeClampLoSeed	xor imm 0x5ACE1AB7 → lo=2; CalcWeaponAttackSpeedTier 0x1638460 remount 2026-09-17	hash:c4f9f4ad5e957a245e5998bf3ebf7086d4e0555c8fca854bd16e86cf3dce4d6	0x1638460			
PrevPosCmovz	text	0xF9CE07	4C 0F 44 F8		x/features/ports/mob_prevpos_patch.cpp	kRvaBranch	lea rax,off; cmovz r15,rax in Mob@0xF9BC70 remount 2026-09-17	hash:fb3e695232b514cd7297db5d44d8666d917708269a73a06518804b3faf8636b	0xF9BC70		48 8D 05 ?? ?? ?? ?? 4C 0F 44 F8	7
